,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
12,15.0,002480.SZ,新筑股份,5.25,10.06,2.82,40.28,7.16,1, 10:08:30, 14:35:12,0.43,1,通用设备,1天1板,0.15,磁浮交通系统+轨道交通+光伏+超级电容
11,24.0,002235.SZ,安妮股份,7.13,10.03,5.17,39.09,13.57,1, 10:04:30, 10:04:30,0.57,0,文化传媒,1天1板,0.11,数据要素+版权技术+物业管理+商务信息用纸
10,19.0,002355.SZ,兴民智通,5.83,10.0,6.78,36.04,19.14,1, 10:03:42, 11:27:48,0.26,3,汽车零部,1天1板,0.04,无人驾驶+钢制车轮+数据要素+人工智能
9,24.0,603283.SH,赛腾股份,39.35,10.01,3.29,73.21,4.53,1, 09:55:33, 09:57:42,0.19,2,专用设备,1天1板,0.06,股权激励+半导体检测装备+Optima+自动化装备
8,22.0,600864.SH,哈投股份,7.41,9.94,16.07,154.17,10.77,1, 09:52:09, 10:21:21,1.44,2,证券,1天1板,0.09,证券+碳交易+热电+国企改革
7,26.0,603629.SH,利通电子,22.55,10.0,2.87,57.46,5.13,1, 09:41:05, 09:41:05,0.76,0,消费电子,1天1板,0.26,算力租赁+消费电子+液晶显示领域+集成电路
5,23.0,600127.SH,金健米业,9.15,9.98,11.46,58.72,19.83,1, 09:39:31, 10:43:19,0.81,1,农牧饲渔,1天1板,0.07,粮食+预制菜+国企改革
3,26.0,002599.SZ,盛通股份,7.94,9.97,2.14,31.35,6.95,1, 09:35:15, 09:35:15,0.92,0,包装材料,1天1板,0.43,AI教育+出版印刷+鸿蒙+杭州亚运会
2,26.0,002787.SZ,华源控股,8.61,9.96,1.3,19.95,6.62,1, 09:34:06, 09:34:06,0.41,0,包装材料,1天1板,0.31,股份出让+包装印刷
28,16.0,301141.SZ,中科磁业,81.0,20.0,8.72,16.42,59.28,1, 14:53:33, 14:53:33,0.31,0,小金属,1天1板,0.04,稀土永磁+高性能钕铁硼磁钢+次新股+拟投建
