,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
40,24.0,688318.SH,财富趋势,107.46,20.0,4.8,140.42,3.63,1, 10:59:18, 10:59:18,0.49,0,软件开发,1天1板,0.1,金融科技+国产软件+人工智能
39,16.0,002244.SZ,滨江集团,9.66,10.02,5.72,259.12,2.23,1, 10:52:18, 13:06:00,0.58,2,房地产开,1天1板,0.1,房地产+租售同权+固态电池
37,24.0,002771.SZ,真视通,19.05,9.99,5.03,32.16,15.99,1, 10:38:18, 10:38:18,1.14,0,互联网服,1天1板,0.23,信创+多媒体视讯+时空大数据+人工智能
36,12.0,600088.SH,中视传媒,15.54,9.98,6.4,61.8,10.56,1, 10:35:18, 14:02:24,0.31,4,文化传媒,1天1板,0.05,影视传媒+虚拟数字人+旅游+中字头
45,12.0,000625.SZ,长安汽车,14.6,10.02,65.8,1116.63,6.01,1, 13:00:03, 14:34:48,0.34,4,汽车整车,1天1板,0.01,汽车整车+启源A07+阿维塔+无人驾驶
48,17.0,601155.SH,新城控股,15.69,10.03,8.57,353.91,2.47,1, 13:07:36, 13:29:48,0.59,1,房地产开,1天1板,0.07,房地产+REITs+装配式建筑
46,18.0,600638.SH,新黄浦,6.22,10.09,0.97,41.89,2.38,1, 13:01:17, 13:01:17,0.21,0,房地产开,1天1板,0.21,房地产+期货+国企改革
47,13.0,600675.SH,中华企业,3.42,9.97,2.25,208.49,1.1,1, 13:05:35, 14:15:02,0.1,3,房地产开,1天1板,0.04,房地产+上海国资
34,24.0,600149.SH,廊坊发展,6.14,10.04,0.96,23.34,4.21,1, 10:21:56, 10:21:56,0.87,0,贸易行业,1天1板,0.91,供热+房产租赁+廊坊国资
49,18.0,300947.SZ,德必集团,19.27,19.99,4.42,18.36,25.56,1, 13:17:18, 13:17:18,0.65,0,文化传媒,1天1板,0.15,园区运营+人工智能+空间计算+元宇宙
50,14.0,000014.SZ,沙河股份,14.18,10.01,6.99,34.32,21.15,1, 13:27:48, 14:12:27,0.25,2,房地产开,1天1板,0.04,房地产+物业管理+深圳国资+半年报预增
51,10.0,601677.SH,明泰铝业,14.16,10.02,12.33,137.33,9.16,1, 13:28:18, 14:53:18,0.05,6,有色金属,1天1板,0.0,有色铝+新能源汽车
52,14.0,600159.SH,大龙地产,3.74,10.0,6.78,31.04,22.95,1, 13:41:03, 13:59:09,0.13,4,房地产开,4天3板,0.02,房地产+北京国资+签约增长
53,14.0,601881.SH,中国银河,12.83,10.03,27.06,853.98,3.23,1, 13:48:07, 14:56:37,0.2,2,证券,1天1板,0.01,证券+国企改革
54,18.0,300917.SZ,特发服务,30.25,19.99,6.27,26.2,25.68,1, 13:57:36, 13:57:36,0.58,0,房地产服,1天1板,0.09,物业管理+智慧政务+数据中心+深圳国资
55,18.0,600095.SH,湘财股份,8.5,9.96,10.9,243.03,4.6,1, 13:58:57, 13:58:57,0.63,0,证券,1天1板,0.06,证券+互联网金融
56,6.0,601555.SH,东吴证券,8.35,10.01,22.64,418.13,5.48,1, 14:02:43, 14:47:40,0.07,10,证券,1天1板,0.0,证券+国企改革+半年报预增
57,14.0,601601.SH,中国太保,28.75,9.98,20.28,1967.95,1.06,1, 14:03:30, 14:06:21,0.54,2,保险,1天1板,0.03,保险+蚂蚁金服
35,17.0,603180.SH,金牌厨柜,33.43,10.0,2.01,51.57,3.95,1, 10:31:03, 13:12:39,0.01,1,装修建材,1天1板,0.01,橱柜+精装修
30,24.0,002146.SZ,荣盛发展,2.54,9.96,13.84,99.07,14.49,1, 10:03:36, 10:03:36,1.16,0,房地产服,7天5板,0.08,房地产+新能源汽车+半年报预增
33,24.0,002325.SZ,洪涛股份,1.74,10.13,1.69,24.95,7.01,1, 10:17:30, 10:17:30,0.23,0,装修装饰,1天1板,0.14,建筑装饰+数据中心+智慧城市+氢能源
32,24.0,002508.SZ,老板电器,27.13,10.02,7.56,254.2,3.0,1, 10:12:30, 10:12:30,0.54,0,家电行业,1天1板,0.07,厨卫电器+杭州亚运会
2,20.0,601136.SH,首创证券,16.6,10.01,13.72,45.37,30.29,1, 09:25:01, 10:03:37,1.07,4,证券,1天1板,0.08,证券+互联网金融+次新股
3,26.0,601099.SH,太平洋,2.93,10.15,4.56,199.72,2.28,1, 09:25:01, 09:25:01,4.28,0,证券,1天1板,0.94,证券+互联网金融
7,26.0,600213.SH,亚星客车,10.73,10.05,0.86,23.61,3.71,1, 09:32:48, 09:32:48,0.75,0,汽车整车,1天1板,0.87,汽车整车+燃料电池+国企改革+政府补贴
8,20.0,605188.SH,国光连锁,11.14,9.97,4.46,6.73,68.09,1, 09:33:09, 11:10:30,0.08,2,商业百货,4天3板,0.02,百货商超+智能物流+预制菜+电子商务
9,26.0,002043.SZ,兔宝宝,11.53,10.02,5.15,80.83,6.44,1, 09:33:18, 09:33:18,0.9,0,装修建材,1天1板,0.18,建筑材料+精装修+智能家居
10,27.0,002853.SZ,皮阿诺,18.67,10.02,0.39,21.37,1.86,1, 09:34:18, 09:34:18,0.57,0,装修建材,1天1板,1.44,家居用品+精装修+全屋定制
11,6.0,600266.SH,城建发展,6.11,10.09,9.5,137.87,6.97,1, 09:34:55, 14:29:01,0.08,11,房地产开,1天1板,0.01,房地产+北京国资
12,22.0,002271.SZ,东方雨虹,29.13,10.01,25.67,578.58,4.46,1, 09:35:09, 10:06:03,0.94,2,装修建材,1天1板,0.04,建筑防水材料+铁路基建
13,26.0,600321.SH,正源股份,1.93,10.29,0.88,29.15,3.07,1, 09:36:20, 09:36:20,0.28,0,装修建材,1天1板,0.32,人造板+纤维板+建材
15,24.0,603801.SH,志邦家居,24.77,9.99,1.57,107.05,1.48,1, 09:37:19, 09:55:43,0.21,2,装修建材,1天1板,0.13,家居用品+全屋定制+百度文心一言
16,26.0,600743.SH,华远地产,1.88,9.94,1.29,44.11,3.0,1, 09:37:52, 09:37:52,0.51,0,房地产开,1天1板,0.4,房地产+北京国资
17,21.0,600702.SH,舍得酒业,140.45,10.0,21.92,464.52,4.77,1, 09:39:49, 10:12:43,1.09,3,酿酒行业,1天1板,0.05,白酒+老字号
18,25.0,301024.SZ,霍普股份,33.46,20.01,1.68,5.93,29.85,1, 09:40:00, 09:50:12,0.36,1,工程建设,1天1板,0.22,建筑设计+光伏+国产软件
20,26.0,002918.SZ,蒙娜丽莎,18.72,9.99,1.51,41.08,3.72,1, 09:41:30, 09:41:30,0.18,0,装修建材,1天1板,0.12,建筑陶瓷+数据中心+杭州亚运会
21,26.0,000961.SZ,中南建设,1.98,10.0,6.27,75.46,8.55,1, 09:42:48, 09:42:48,0.93,0,房地产开,3天2板,0.15,房地产+数据交易中心+区块链+机器人
22,26.0,002205.SZ,国统股份,11.62,10.04,2.88,21.59,13.5,1, 09:46:21, 09:46:21,2.14,0,水泥建材,1天1板,0.74,输水管道+装配式建筑+水利+国企改革
24,26.0,600565.SH,迪马股份,1.85,10.12,1.83,46.09,4.07,1, 09:52:22, 09:52:22,0.33,0,房地产开,1天1板,0.18,房地产+物业管理+军工
25,26.0,603848.SH,好太太,15.13,10.04,1.01,60.67,1.7,1, 09:53:34, 09:53:34,0.51,0,家用轻工,1天1板,0.5,智能家居+晾晒行业龙头+电子商务
26,25.0,301376.SZ,致欧科技,28.99,19.99,2.17,9.7,23.43,1, 09:55:06, 09:58:39,0.42,1,家用轻工,1天1板,0.19,家居用品+跨境电商+半年报预增+次新股
27,26.0,000550.SZ,江铃汽车,17.6,10.0,4.2,91.25,4.74,1, 09:55:33, 09:55:33,0.8,0,汽车整车,1天1板,0.19,商用车+无人驾驶+燃料电池+半年报预增
28,25.0,000010.SZ,美丽生态,2.77,9.92,2.28,14.46,16.3,1, 09:56:06, 09:57:09,0.4,1,工程建设,1天1板,0.17,新型城镇化+园林绿化+基建+煤炭
29,26.0,002863.SZ,今飞凯达,6.56,10.07,1.68,32.73,5.23,1, 09:59:24, 09:59:24,0.46,0,汽车零部,1天1板,0.28,一体化压铸+铝合金车轮+比亚迪
31,14.0,600322.SH,天房发展,2.34,9.86,4.64,25.87,18.49,1, 10:04:34, 10:41:28,0.13,10,房地产开,3天2板,0.03,房地产+天津国资
59,16.0,605287.SH,德才股份,19.56,10.01,1.74,17.2,10.47,1, 14:41:56, 14:41:56,0.26,0,装修装饰,1天1板,0.15,建筑装饰+装配式建筑+光伏建筑一体化
