,综合打分,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比,涨停原因类别
24,6.0,000981.SZ,山子股份,1.67,9.87,5.32,93.19,5.84,1, 10:26:57, 14:38:21,0.04,13,汽车零部,1天1板,0.01,汽车零部件+房地产+减速器+摘帽
36,14.0,601005.SH,重庆钢铁,1.58,9.72,3.44,132.41,2.69,1, 14:12:58, 14:25:01,0.57,2,钢铁行业,1天1板,0.17,钢铁+中厚钢板+国企改革
25,15.0,301429.SZ,森泰股份,30.1,20.02,5.54,8.44,69.23,1, 10:31:24, 14:52:30,0.34,1,装修建材,1天1板,0.06,木塑复合材料+外销+收购+次新股
19,26.0,301049.SZ,超越科技,26.45,20.01,2.14,6.79,32.73,1, 09:57:45, 09:57:45,1.17,0,环保行业,1天1板,0.54,环保+动力电池回收+汽车拆解+医疗废物处理
23,24.0,002377.SZ,国创高新,2.78,9.88,1.85,25.46,7.45,1, 10:17:39, 10:34:48,1.92,1,房地产服,1天1板,1.04,房地产服务+沥青+数据中心+腾讯云
22,6.0,600340.SH,华夏幸福,2.68,9.84,9.12,104.34,8.91,1, 10:06:02, 14:44:32,0.09,11,房地产开,1天1板,0.01,房地产+互联网金融
21,24.0,000965.SZ,天保基建,4.76,9.93,4.67,52.83,9.16,1, 10:04:06, 10:04:06,0.84,0,房地产开,1天1板,0.18,房地产+大飞机+国企改革
20,9.0,002269.SZ,美邦服饰,1.99,9.94,6.55,50.0,13.44,1, 10:01:15, 13:36:03,0.29,9,纺织服装,5天3板,0.04,服装家纺+电子商务+中俄贸易+半年报预增
1,31.0,002575.SZ,群兴玩具,5.76,9.92,0.07,33.91,0.22,1, 09:25:00, 09:25:00,0.4,0,房地产服,1天1板,5.42,拟定增+实控人变更+酒类销售+物业管理
18,14.0,002596.SZ,海南瑞泽,3.29,10.03,4.64,34.8,13.66,1, 09:55:00, 14:49:33,0.01,2,水泥建材,1天1板,0.0,水泥+一带一路+园林开发
17,26.0,000826.SZ,启迪环境,3.3,10.0,1.91,47.03,4.17,1, 09:51:45, 09:51:45,0.66,0,环保行业,1天1板,0.34,环保+新型城镇化+碳中和+锂电池
16,6.0,603023.SH,威帝股份,5.54,9.92,6.14,31.14,20.23,1, 09:50:30, 14:43:03,0.12,13,汽车零部,3天2板,0.02,拟收购+复牌+无人驾驶+汽车电子
15,24.0,600992.SH,贵绳股份,18.89,10.02,4.46,46.3,9.79,1, 09:44:22, 09:50:41,0.29,2,通用设备,1天1板,0.07,军工+国产航母+钢绳+贵州国资
13,25.0,300155.SZ,安居宝,6.23,20.04,2.97,20.57,14.82,1, 09:35:15, 09:41:51,0.41,1,计算机设,1天1板,0.14,智能家居系统+城中村改造+安防
12,26.0,002310.SZ,东方园林,2.6,10.17,5.75,67.74,8.76,1, 09:35:03, 09:35:03,0.78,0,环保行业,6天4板,0.13,与沙特石油公司合作+环保+园林建设+北京国资
11,26.0,605069.SH,正和生态,10.32,10.02,0.39,8.69,4.58,1, 09:34:48, 09:34:48,0.28,0,环保行业,1天1板,0.72,环保+生态景观+新型城镇化+碳中和
6,26.0,301288.SZ,清研环境,21.9,20.0,0.92,8.74,10.8,1, 09:31:12, 09:31:12,0.77,0,环保行业,1天1板,0.84,环保设备+污水处理
37,10.0,600231.SH,凌钢股份,2.5,10.13,1.71,71.3,2.46,1, 14:31:47, 14:54:47,0.07,6,钢铁行业,1天1板,0.04,钢铁+国企改革
